uuid,gender,age,group,image1,image2,rating
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/1_s1_bf.png,images/S2_BF/1_s2_bf.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/2_s1_bf.png,images/S2_BF/2_s2_bf.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/3_s1_bf.png,images/S2_BF/3_s2_bf.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/4_s1_bf.png,images/S2_BF/4_s2_bf.png,5
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/5_s1_bf.png,images/S2_BF/5_s2_bf.png,4
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/6_s1_bf.png,images/S2_BF/6_s2_bf.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/7_s1_bf.png,images/S2_BF/7_s2_bf.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/8_s1_bf.png,images/S2_BF/8_s2_bf.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/9_s1_bf.png,images/S2_BF/9_s2_bf.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide S1 vs S2,images/S1_BF/10_s1_bf.png,images/S2_BF/10_s2_bf.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide vs MorDiff,images/S1_BF/1_s1_bf.png,images/MorDiff/1_mordiff.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide vs MorDiff,images/S1_BF/2_s1_bf.png,images/MorDiff/2_mordiff.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide vs MorDiff,images/S1_BF/3_s1_bf.png,images/MorDiff/3_mordiff.png,2
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide vs MorDiff,images/S1_BF/4_s1_bf.png,images/MorDiff/4_mordiff.png,3
b12b52c1-543a-47d2-ac2f-26512838fb6a,Female,19,bonafide vs MorDiff,images/S1_BF/5_s1_bf.png,images/MorDiff/5_mordiff.png,3
